"Number","Valid from","Latitude [°]","Longitude [°]","Altitude [m]","Slope [°]","Orientation [°]","Locationclass","Surrounding area"
1001,2023-08-11 20:00:00,47.0799520000000,15.4480320000000,366.00,0.0000,0.0000,"located in the valley","tilled area"
1002,2019-08-01 16:30:00,47.0780000000000,15.4489166666667,366.00,0.0000,0.0000,"located in the valley","tilled area"
1002,2022-07-08 12:30:00,47.0747300000000,15.4477800000000,366.00,0.0000,0.0000,"located in the valley","tilled area"
1002,2022-10-27 10:00:00,47.0740000000000,15.4470000000000,366.00,0.0000,0.0000,"located in the valley","tilled area"
1003,2019-08-12 12:30:00,47.0780000000000,15.4489166666667,366.00,0.0000,0.0000,"located in the valley","tilled area"
1003,2022-07-08 12:30:00,47.0749200000000,15.4479000000000,366.00,0.0000,0.0000,"located in the valley","tilled area"
1003,2022-10-27 10:00:00,47.0749000000000,15.4470000000000,366.00,0.0000,0.0000,"located in the valley","tilled area"
1004,2020-09-14 16:07:00,47.0780000000000,15.4489166666667,366.00,0.0000,0.0000,"located in the valley","tilled area"
1005,2022-04-29 07:00:00,46.9584940000000,15.8500190000000,288.00,0.0000,0.0000,"located in the valley","tilled area"
1006,2023-03-06 11:27:16,47.0780000000000,15.4489166666667,366.00,0.0000,0.0000,"located in the valley","tilled area"
11167,2007-01-01 00:00:00,47.5946000000000,14.4908300000000,637.00,0.0000,0.0000,"located in the valley","partially tilled area"
11173,2007-01-01 00:00:00,47.4441666700000,15.6438888899999,1034.0,8.0000,114.00,"middle slope","partially tilled area"
11241,2007-01-01 00:00:00,47.1986111100000,15.466450099998998,1443.0,,,"hilltop","untilled area"
11242,2007-01-01 00:00:00,47.1821150000000,15.4897690000000,726.00,7.0000,148.00,"lower slope","partially tilled area"
11244,2007-01-01 00:00:00,46.8786110000000,15.9066690000000,286.00,0.0000,,"located in the valley","partially tilled area"
11244,2010-03-25 00:00:00,46.872222219999934,15.903611110000044,271.00,0.0000,,"located in the valley","tilled area"
11246,2007-01-01 00:00:00,47.0308333300000,16.0808333300000,271.00,,,"located in the valley","partially tilled area"
11247,2007-01-01 00:00:00,47.1155555599999,15.7080555600000,377.00,,,"located in the valley","partially tilled area"
11249,2007-01-01 00:00:00,47.2555555599999,15.3152000000000,421.00,,,"located in the valley","partially tilled area"
11290,2007-01-01 00:00:00,47.077700009998985,15.44893000998997,367.00,,,"located in the valley","tilled area"
11292,2007-01-01 00:00:00,47.0736390000000,15.5923470001970,530.00,,,"hilltop","partially tilled area"
11298,2007-01-01 00:00:00,46.9489380000000,15.8796050000000,323.00,2.0000,75.000,"lower slope","partially tilled area"
105080,2007-01-01 00:00:00,46.9888900000000,16.2533300000000,228.00,,,"located in the valley","partially tilled area"
111195,2007-01-01 00:00:00,47.1287470000000,16.2766190000000,244.00,8.0000,80.000,"at the base of the slope","partially tilled area"
111443,2007-01-01 00:00:00,47.0890100000000,16.1229670000000,361.00,,,"hilltop","partially tilled area"
111450,2007-01-01 00:00:00,47.0470630000000,16.3645230000000,209.00,,,"located in the valley","partially tilled area"
112466,2007-01-01 00:00:00,46.8498000000000,16.0625000000000,376.00,,,"located in the valley","partially tilled area"
210468,2007-01-01 00:00:00,46.9295000000000,16.1567000000000,230.64,,,"located in the valley","untilled area"
6000055,2014-01-01 00:00:00,-999.000000000000,-999.000000000000,-999.00,,,"unknown","unknown"
6000056,2014-01-01 00:00:00,47.4686111111000,15.7861111111000,-999.00,,,"unknown","unknown"
6000059,2014-01-01 00:00:00,47.4369444444000,16.0491666667000,-999.00,,,"unknown","unknown"
6000063,1990-01-01 00:00:00,47.1670000000017,16.0124010000000,285.00,,,"located in the valley","untilled area"
6000067,2014-01-01 00:00:00,47.2130555556000,15.8194444444000,-999.00,,,"unknown","unknown"
6000068,2014-01-01 00:00:00,47.1072222222000,15.8319444444000,-999.00,,,"unknown","unknown"
6000071,2014-01-01 00:00:00,46.9333300000000,16.0177800000000,260.00,,,"unknown","unknown"
6000073,2007-01-01 00:00:00,47.3072222200000,15.8358333300000,420.00,,,"located in the valley","partially tilled area"
6000076,2014-01-01 00:00:00,47.3008333333000,15.5130555556000,-999.00,,,"unknown","unknown"
6000078,1982-06-01 00:00:00,47.32666664047324,15.80861110092641,525.00,5.0000,90.000,"at the base of the slope","untilled area"
6000079,2014-01-01 00:00:00,47.3075000000000,15.4827777778000,-999.00,,,"unknown","unknown"
6000082,1998-01-01 00:00:00,47.49840222040409,15.653911092022446,1071.0,17.000,180.00,"middle slope","partially tilled area"
6000120,1999-01-01 00:00:00,47.39111108845765,15.439999996305508,670.00,23.000,195.00,"lower slope","untilled area"
6000123,1999-06-17 00:00:00,47.26916660581555,15.32305555167094,428.00,,,"located in the valley","tilled area"
6000128,1999-01-01 00:00:00,47.105800085581116,15.40950000698844,362.00,,,"located in the valley","partially tilled area"
6000158,2003-10-01 00:00:00,46.92555549910077,15.666666661864657,336.00,,,"located in the valley","partially tilled area"
6000159,1990-01-01 00:00:00,46.8008300000000,15.7594400000000,270.00,,,"located in the valley","partially tilled area"
6000163,2014-01-01 00:00:00,-999.000000000000,-999.000000000000,-999.00,,,"unknown","unknown"
6000174,2014-01-01 00:00:00,-999.000000000000,-999.000000000000,-999.00,,,"unknown","unknown"
6000253,2004-01-01 00:00:00,47.14880880912554,15.658403331954377,378.00,,,"located in the valley","partially tilled area"
6000263,2007-01-01 00:00:00,47.2816666700000,15.6975000000000,534.00,8.0000,356.00,"lower slope","partially tilled area"
6000325,1998-01-01 00:00:00,47.3534000270770,15.689900054790497,676.00,8.0000,73.000,"middle slope","partially tilled area"
6001046,1990-01-01 00:00:00,47.2496003300000,15.5121222200000,575.1800000000011,,,"located in the valley","partially tilled area"
6001047,1990-01-01 00:00:00,47.1785008900000,15.6646055560000,401.00,,,"located in the valley","partially tilled area"
6001048,1990-01-01 00:00:00,47.0428000000000,15.7577000000000,317.55,0.0000,,"located in the valley","untilled area"
6001049,1990-01-01 00:00:00,46.9569000000002,15.8875000000000,276.22,,,"located in the valley","tilled area"
6001050,2014-01-01 00:00:00,-999.000000000000,-999.000000000000,-999.00,,,"unknown","unknown"
6001051,2014-01-01 00:00:00,-999.000000000000,-999.000000000000,-999.00,,,"unknown","unknown"
6001052,2014-01-01 00:00:00,-999.000000000000,-999.000000000000,-999.00,,,"unknown","unknown"
6001053,2014-01-01 00:00:00,47.2786111111000,15.6908333333000,-999.00,,,"unknown","unknown"
6001054,2014-01-01 00:00:00,47.0827777778000,15.9436111111000,-999.00,,,"unknown","unknown"
6001055,2014-01-01 00:00:00,47.0627777778000,16.0091666667000,-999.00,,,"unknown","unknown"
6001100,1990-01-01 00:00:00,46.731306700000026,15.8502088900000,222.00000000000114,,,"located in the valley","untilled area"
6001108,1990-01-01 00:00:00,47.1719222200000,15.6165010000000,398.00000000000114,,,"located in the valley","untilled area"
6001111,2014-01-01 00:00:00,47.3130555556000,15.8297222222000,-999.00,,,"unknown","unknown"
6001112,2014-01-01 00:00:00,47.2933333333000,15.8425000000000,-999.00,,,"unknown","unknown"
6001117,2014-01-01 00:00:00,47.3252777778000,16.0513888889000,-999.00,,,"unknown","unknown"
6001118,1990-01-01 00:00:00,47.2472077800000,15.5192222000000,582.0000000000011,,,"located in the valley","untilled area"
6001119,1990-01-01 00:00:00,47.1491008900000,15.6666778000000,370.00000000000114,,,"located in the valley","partially tilled area"
6001121,2014-01-01 00:00:00,47.5238888889000,15.7911111111000,-999.00,,,"unknown","unknown"
6001126,2014-01-01 00:00:00,-999.000000000000,-999.000000000000,-999.00,,,"unknown","unknown"
6001136,1991-01-01 00:00:00,47.1011067000000,15.6751111100000,354.00,,,"located in the valley","untilled area"
6001139,2014-01-01 00:00:00,47.0450000000000,15.8975000000000,-999.00,,,"unknown","unknown"
6002495,1980-01-01 00:00:00,-999.000000000000,-999.000000000000,258.38,,,"unknown","unknown"
6002496,1980-01-01 00:00:00,-999.000000000000,-999.000000000000,258.32,,,"unknown","unknown"
6002552,1981-01-01 00:00:00,-999.000000000000,-999.000000000000,279.16,,,"unknown","unknown"
6002553,1981-01-01 00:00:00,-999.000000000000,-999.000000000000,261.20,,,"unknown","unknown"
6002554,1981-01-01 00:00:00,-999.000000000000,-999.000000000000,255.73,,,"unknown","unknown"
6002586,1982-04-01 00:00:00,-999.000000000000,-999.000000000000,258.37,,,"unknown","unknown"
6002913,2007-01-01 00:00:00,46.8058300000000,15.3322200000000,340.00,,,"located in the valley","untilled area"
6002963,2007-01-01 00:00:00,46.7113000000000,15.7919000000000,224.23,,,"located in the valley","untilled area"
6002965,2014-01-01 00:00:00,47.3844444444000,16.0041666667000,-999.00,,,"unknown","unknown"
6003015,2014-01-01 00:00:00,47.4875000000000,15.9233333333000,-999.00,,,"unknown","unknown"
6003029,2005-12-31 00:00:00,47.0627777800000,16.0091666700000,280.00,,,"located in the valley","untilled area"
6003080,2001-01-01 00:00:00,47.2186111100000,15.7625000000000,840.00,14.000,160.00,"middle slope","untilled area"
6003108,1998-05-05 00:00:00,47.3393120000000,16.0422050000000,381.97,,,"unknown","unknown"
6003109,1998-05-05 00:00:00,47.3057930000000,16.0582590000000,357.83,,,"unknown","unknown"
6003110,1998-03-26 00:00:00,47.2583060000000,16.0797000000000,327.31,,,"unknown","unknown"
6003111,1998-03-31 00:00:00,47.1182690000000,16.0982950000000,266.97,,,"unknown","unknown"
6003112,2000-10-03 00:00:00,47.0523970000000,16.0971140000000,250.37,,,"unknown","unknown"
6003115,2000-10-03 00:00:00,47.0792160000000,16.0146570000000,273.52,,,"unknown","unknown"
6003119,2000-10-03 00:00:00,47.1615060000000,15.8673390000000,330.00,,,"unknown","unknown"
6003121,2000-10-03 00:00:00,47.1857640000000,15.8412650000000,346.01,,,"unknown","unknown"
6003123,2000-10-03 00:00:00,47.2009200000000,15.8310150000000,357.30,,,"unknown","unknown"
6003124,1998-03-31 00:00:00,47.1630150000000,15.6331000000000,393.80,,,"unknown","unknown"
6003125,1998-03-31 00:00:00,47.1997160000000,15.6603040000000,430.57,,,"unknown","unknown"
6003126,1998-03-31 00:00:00,47.1722222222000,15.6219444444000,401.95,,,"unknown","unknown"
6003127,1998-03-31 00:00:00,47.1563888889000,15.6563888889000,382.68,,,"unknown","unknown"
6003129,1998-04-02 00:00:00,47.1350500000000,15.6690980000000,369.99,,,"unknown","unknown"
6003130,1998-03-26 00:00:00,47.1221360000000,15.6948520000000,361.92,,,"unknown","unknown"
6003131,1998-04-07 00:00:00,47.1180555556000,15.6925000000000,357.91,,,"unknown","unknown"
6003132,1999-09-13 00:00:00,47.0944444444000,15.7055555556000,347.25,,,"unknown","unknown"
6003133,1998-04-07 00:00:00,47.0824690000000,15.7331870000000,338.65,,,"unknown","unknown"
6003134,1998-04-07 00:00:00,47.0431150000000,15.7486720000000,325.71,,,"unknown","unknown"
6003135,1998-05-08 00:00:00,46.9633410000000,15.8469860000000,290.14,,,"unknown","unknown"
6003136,1998-04-08 00:00:00,46.9464430000000,15.9437220000000,271.69,,,"unknown","unknown"
6003137,1998-04-08 00:00:00,46.9480280000000,15.9829850000000,265.31,,,"unknown","unknown"
6003138,1998-04-08 00:00:00,-999.000000000000,-999.000000000000,268.59,,,"unknown","unknown"
6003139,1998-03-03 00:00:00,-999.000000000000,-999.000000000000,257.63,,,"unknown","unknown"
6003140,1998-04-23 00:00:00,46.9453710000000,16.0603010000000,254.80,,,"unknown","unknown"
6003141,1998-04-29 00:00:00,-999.000000000000,-999.000000000000,250.75,,,"unknown","unknown"
6003234,1997-09-25 00:00:00,-999.000000000000,-999.000000000000,282.37,,,"unknown","unknown"
6003235,1997-09-25 00:00:00,-999.000000000000,-999.000000000000,282.66,,,"unknown","unknown"
6003236,1997-09-25 00:00:00,-999.000000000000,-999.000000000000,287.45,,,"unknown","unknown"
6003237,1997-09-25 00:00:00,-999.000000000000,-999.000000000000,298.47,,,"unknown","unknown"
6003238,1998-01-13 00:00:00,-999.000000000000,-999.000000000000,303.89,,,"unknown","unknown"
6003285,2014-01-01 00:00:00,-999.000000000000,-999.000000000000,-999.00,,,"unknown","unknown"
6003292,2014-01-01 00:00:00,47.2477777778000,15.5197222222000,-999.00,,,"unknown","unknown"
6003336,2006-08-08 00:00:00,47.2199900000000,15.9038700000000,326.79,,,"unknown","unknown"
6003338,2006-08-08 00:00:00,47.1870200000000,15.9839760000000,297.47,,,"unknown","unknown"
6003340,2006-07-21 00:00:00,47.1298130000000,16.0485410000000,273.63,,,"unknown","unknown"
6003444,2003-09-30 00:00:00,47.2872930000000,16.0018040000000,333.99,,,"unknown","unknown"
6003447,1999-09-23 00:00:00,47.0958010000000,16.0205230000000,288.79,,,"unknown","unknown"
6003493,2005-11-04 00:00:00,46.9908950000000,15.7821620000000,305.05,,,"unknown","unknown"
6003504,2009-08-13 00:00:00,47.4336160000000,16.0704450000000,493.29,,,"unknown","unknown"
