"Number","Valid from","Latitude [°]","Longitude [°]","Altitude [m]","Slope [°]","Orientation [°]","Locationclass","Surrounding area"
45,2007-01-01 00:00:00,46.95422883468654,15.876196552716285,289.00,0.0000,,"located in the valley","untilled area"
45,2011-03-11 00:00:00,46.9542450000000,15.8761710000000,289.00,0.0000,,"located in the valley","untilled area"
46,2007-01-01 00:00:00,46.95466910726582,15.885745297215147,280.00,0.0000,,"located in the valley","tilled area"
46,2009-12-31 23:00:00,46.95466910726582,15.885745297215147,280.00,0.0000,,"located in the valley","tilled area"
46,2017-07-18 08:01:00,46.9546691073000,15.8857452972000,280.00,0.0000,,"located in the valley","tilled area"
47,2007-01-01 00:00:00,46.95881942512371,15.9072220228540,279.00,0.0000,,"located in the valley","partially tilled area"
48,2007-01-01 00:00:00,46.95661017151286,15.922730154627606,278.00,0.0000,,"located in the valley","untilled area"
48,2009-12-31 23:00:00,46.95661017151286,15.922730154627606,278.00,0.0000,,"located in the valley","untilled area"
49,2007-01-01 00:00:00,46.95883071838033,15.948196653188923,286.00,0.0000,,"located in the valley","untilled area"
50,2007-01-01 00:00:00,46.959331356120494,15.967883996895015,367.00,0.0000,,"hilltop","untilled area"
50,2011-02-11 00:00:00,46.9595230000000,15.9657830000000,354.00,15.000,270.00,"upper slope","untilled area"
51,2007-01-01 00:00:00,46.95911188104053,15.98331190695258,290.00,2.0000,190.00,"lower slope","partially tilled area"
52,2007-01-01 00:00:00,46.95768265362439,15.99741022097894,319.00,5.0000,0.0000,"upper slope","partially tilled area"
53,2007-01-01 00:00:00,46.95483362134592,16.01715768768546,260.00,0.0000,,"located in the valley","partially tilled area"
54,2007-01-01 00:00:00,46.94326617875125,15.759602814488444,348.00,14.000,320.00,"middle slope","untilled area"
55,2007-01-01 00:00:00,46.94339676624243,15.780420143488643,320.00,0.0000,,"at the base of the slope","untilled area"
56,2007-01-01 00:00:00,46.941707626826755,15.797687923423101,318.00,2.0000,190.00,"at the base of the slope","tilled area"
57,2007-01-01 00:00:00,46.94353790919062,15.811225895435864,301.00,0.0000,,"located in the valley","untilled area"
58,2007-01-01 00:00:00,46.94654847684058,15.83864216850163,296.00,0.0000,,"located in the valley","partially tilled area"
59,2007-01-01 00:00:00,46.94339921809993,15.85045063768341,339.00,4.0000,130.00,"middle slope","partially tilled area"
60,2007-01-01 00:00:00,46.943580153181955,15.877277104085113,353.00,6.0000,130.00,"upper slope","partially tilled area"
60,2009-04-18 11:59:00,46.94343311834343,15.877475739533944,351.00,14.000,120.00,"upper slope","partially tilled area"
61,2007-01-01 00:00:00,46.94417046366011,15.88923550807462,322.00,10.000,250.00,"lower slope","partially tilled area"
62,2007-01-01 00:00:00,46.945420908284845,15.906783141403213,284.00,0.0000,,"located in the valley","tilled area"
63,2007-01-01 00:00:00,46.94664143492033,15.926630408956097,280.00,0.0000,,"located in the valley","partially tilled area"
63,2008-07-02 14:59:00,46.9472100000000,15.9297800000000,280.00,0.0000,,"located in the valley","untilled area"
63,2009-06-12 16:00:00,46.9448300000000,15.9267300000000,280.00,0.0000,,"located in the valley","partially tilled area"
63,2025-07-14 10:30:00,46.9408800000000,15.9263200000000,298.00,5.0000,20.000,"at the base of the slope","untilled area"
64,2007-01-01 00:00:00,46.94448234752383,15.944478107559483,275.00,0.0000,,"located in the valley","untilled area"
65,2007-01-01 00:00:00,46.94264313545191,15.961656052232644,273.00,0.0000,,"located in the valley","partially tilled area"
66,2007-01-01 00:00:00,46.94524344577381,15.980553386142757,264.00,0.0000,,"located in the valley","partially tilled area"
67,2007-01-01 00:00:00,46.94346420113146,15.99696121253817,264.00,0.0000,,"located in the valley","untilled area"
67,2022-07-12 00:00:00,46.9434642011000,15.9969612125000,264.00,0.0000,,"located in the valley","tilled area"
67,2022-10-24 00:00:00,46.9434642011000,15.9969612125000,264.00,0.0000,,"located in the valley","tilled area"
68,2007-01-01 00:00:00,46.94626483375687,16.023327592935207,257.00,0.0000,,"located in the valley","untilled area"
68,2018-05-08 10:00:00,46.9462648338000,16.0233275929000,257.00,0.0000,,"located in the valley","untilled area"
69,2007-01-01 00:00:00,46.94147589546282,16.039455839687168,257.00,0.0000,,"located in the valley","untilled area"
70,2007-01-01 00:00:00,46.93052822139602,15.77739136414643,403.00,20.000,140.00,"upper slope","untilled area"
71,2007-01-01 00:00:00,46.9309388460353,15.796478790406322,375.00,4.0000,350.00,"upper slope","partially tilled area"
72,2007-01-01 00:00:00,46.93181945913744,15.81542625390831,337.00,7.0000,160.00,"located in the valley","partially tilled area"
73,2007-01-01 00:00:00,46.93130019435802,15.83605367799315,376.00,10.000,100.00,"upper slope","untilled area"
74,2007-01-01 00:00:00,46.93036084187161,15.852351444457886,394.00,5.0000,240.00,"hilltop","untilled area"
75,2007-01-01 00:00:00,46.93495083057992,15.867389218268052,308.00,2.0000,,"located in the valley","partially tilled area"
76,2007-01-01 00:00:00,46.9335117555212,15.89003620060261,319.00,13.000,170.00,"lower slope","partially tilled area"
76,2010-08-24 00:00:00,46.9335117555212,15.89003620060261,319.00,13.000,170.00,"lower slope","partially tilled area"
77,2007-01-01 00:00:00,46.9329420000000,15.9070630000000,306.00,4.0000,250.00,"lower slope","untilled area"
77,2012-12-31 23:00:00,46.9329420000000,15.9070630000000,306.00,4.0000,250.00,"lower slope","untilled area"
77,2017-07-18 12:06:00,46.9329420000000,15.9070630000000,306.00,4.0000,250.00,"lower slope","untilled area"
78,2007-01-01 00:00:00,46.9329129699694,15.924621630552835,372.00,18.000,80.000,"middle slope","partially tilled area"
79,2007-01-01 00:00:00,46.9307339162255,15.942559482990436,369.00,0.0000,,"hilltop","partially tilled area"
79,2020-07-04 00:00:00,46.9306990000000,15.9427500000000,365.00,45.000,80.000,"upper slope","partially tilled area"
80,2007-01-01 00:00:00,46.93321417173686,15.96143679360463,329.00,18.000,10.000,"middle slope","partially tilled area"
80,2012-10-01 12:59:00,46.9333950000000,15.9608050000000,330.00,18.000,20.000,"middle slope","partially tilled area"
81,2007-01-01 00:00:00,46.92891545248489,15.985063971318244,311.00,10.000,140.00,"upper slope","untilled area"
82,2007-01-01 00:00:00,46.9326257428221,16.00336130150534,276.00,6.0000,240.00,"lower slope","tilled area"
82,2012-12-31 23:00:00,46.9326257428221,16.00336130150534,276.00,6.0000,240.00,"lower slope","tilled area"
82,2017-09-19 08:03:26,46.9326257428000,16.0033613015000,276.00,6.0000,240.00,"lower slope","tilled area"
83,2007-01-01 00:00:00,46.93465614607858,16.02284851888185,274.00,2.0000,10.000,"at the base of the slope","partially tilled area"
83,2023-03-08 00:00:00,46.93465614607858,16.02284851888185,274.00,2.0000,10.000,"at the base of the slope","partially tilled area"
84,2007-01-01 00:00:00,46.934226774102726,16.040586077778972,265.00,0.0000,,"located in the valley","untilled area"
84,2012-08-03 10:59:00,46.93427499999988,16.04055500000011,265.00,0.0000,,"located in the valley","untilled area"
84,2023-03-08 00:00:00,46.93427499999988,16.04055500000011,266.00,0.0000,,"located in the valley","untilled area"
85,2007-01-01 00:00:00,46.91690993147376,15.781121863022172,302.00,4.0000,,"located in the valley","untilled area"
85,2018-08-02 10:15:00,46.9169099315000,15.7811218630000,302.00,4.0000,-1.0000,"located in the valley","untilled area"
